"ACTS Test Suite Generation: Wed Dec 28 18:44:29 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 11"
"Maximum number of values per parameter: 4"
"Number of configurations: 39"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_ONWXGX3CN5SHS_KN2HE2LOM4","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#NULL#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","content","$#NULL#$"
"$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","content","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","content","$#EMPTY#$"
