"ACTS Test Suite Generation: Wed Dec 28 18:44:25 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 12"
"Maximum number of values per parameter: 8"
"Number of configurations: 72"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_ONSW4ZDFOI_KN2HE2LOM4","extra_0_2_MJXWI6I_KN2HE2LOM4","path","scheme","type"
"com.csipsimple.phone.action.FAVORITES","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"com.csipsimple.phone.action.CALLLOG","$#NULL#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"com.csipsimple.phone.action.MESSAGES","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"com.csipsimple.phone.action.DIALER","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.DIAL","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.csipsimple.phone.action.FAVORITES","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.csipsimple.phone.action.CALLLOG","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.csipsimple.phone.action.MESSAGES","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.csipsimple.phone.action.DIALER","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.DIAL","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.csipsimple.phone.action.FAVORITES","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.csipsimple.phone.action.CALLLOG","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.csipsimple.phone.action.MESSAGES","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.csipsimple.phone.action.DIALER","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#NULL#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.intent.action.DIAL","$#NULL#$","$#NOTEMPTY#$","true","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"com.csipsimple.phone.action.FAVORITES","$#NULL#$","$#NOTEMPTY#$","true","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"com.csipsimple.phone.action.CALLLOG","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"com.csipsimple.phone.action.MESSAGES","$#NULL#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"com.csipsimple.phone.action.DIALER","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.DIAL","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.csipsimple.phone.action.FAVORITES","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.csipsimple.phone.action.CALLLOG","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.csipsimple.phone.action.MESSAGES","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.csipsimple.phone.action.DIALER","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.DIAL","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.csipsimple.phone.action.FAVORITES","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.csipsimple.phone.action.CALLLOG","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.csipsimple.phone.action.MESSAGES","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.csipsimple.phone.action.DIALER","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.intent.action.DIAL","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"com.csipsimple.phone.action.FAVORITES","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"com.csipsimple.phone.action.CALLLOG","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"com.csipsimple.phone.action.MESSAGES","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"com.csipsimple.phone.action.DIALER","$#NULL#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
