"ACTS Test Suite Generation: Wed Dec 28 18:44:26 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 20"
"Maximum number of values per parameter: 7"
"Number of configurations: 173"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_10_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZZGS3THORXW4ZJOKBEUGS2FIRPVKUSJ_KBQXEY3FNRQWE3DF","extra_0_1_ONSWYZLDORSWIQLMMFZG2_KNSXE2LBNRUXUYLCNRSQ","extra_0_2_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZQWYYLSNUXE2SKOKVKEKUY_NFXHI","extra_0_3_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZQWYYLSNUXEQT2VKI_NFXHI","extra_0_4_ONXWYYLSMV3GK3TU_KN2HE2LOM4","extra_0_5_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZQWYYLSNUXE2RKTKNAUORI_KN2HE2LOM4","extra_0_6_ONUG652CMFRWW_MJXW63DFMFXA","extra_0_7_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZQWYYLSNUXFESKOI5KE6TSF_KN2HE2LOM4","extra_0_8_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZQWYYLSNUXFMSKCKJAVIRI_MJXW63DFMFXA","extra_0_9_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZQWYYLSNUXEIQKZKM_JFXHIZLHMVZEC4TSMF4UY2LTOQ","path","scheme","type"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","1","1","$#NOTEMPTY#$","$#NULL#$","true","$#EMPTY#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_ALARM","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0","0","$#NULL#$","$#NOTEMPTY#$","false","$#EMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_NOTIFICATION","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","0","0","$#NULL#$","$#NULL#$","false","$#NULL#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SET_ALARM","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","1","1","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"suntimeswidget.alarm.delete","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","1","1","$#NULL#$","$#NULL#$","true","$#NOTEMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","1","0","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","false","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0","1","$#NOTEMPTY#$","$#NULL#$","false","$#NULL#$","false","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","1","0","$#NULL#$","$#NOTEMPTY#$","true","$#NULL#$","true","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_ALARM","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","1","1","$#EMPTY#$","$#NULL#$","true","$#NOTEMPTY#$","false","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_NOTIFICATION","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","0","1","$#NOTEMPTY#$","$#EMPTY#$","true","$#NOTEMPTY#$","false","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SET_ALARM","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0","1","$#NULL#$","$#NULL#$","false","$#EMPTY#$","false","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"suntimeswidget.alarm.delete","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","1","1","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#EMPTY#$","false","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","1","0","$#NULL#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","false","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","1","1","$#NOTEMPTY#$","$#NULL#$","false","$#NULL#$","true","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_ALARM","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","0","1","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#NULL#$","false","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_NOTIFICATION","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","1","0","$#EMPTY#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","true","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SET_ALARM","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","1","0","$#EMPTY#$","$#NULL#$","true","$#NULL#$","false","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"suntimeswidget.alarm.delete","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0","0","$#EMPTY#$","$#NOTEMPTY#$","true","$#NULL#$","false","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0","1","$#NULL#$","$#NULL#$","false","$#EMPTY#$","true","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","1","0","$#EMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","false","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","0","1","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","true","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_ALARM","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0","1","$#NULL#$","$#EMPTY#$","false","$#NULL#$","true","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_NOTIFICATION","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","1","1","$#NOTEMPTY#$","$#NULL#$","true","$#EMPTY#$","false","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SET_ALARM","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","1","1","$#NULL#$","$#NOTEMPTY#$","true","$#NULL#$","true","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"suntimeswidget.alarm.delete","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0","0","$#NOTEMPTY#$","$#EMPTY#$","false","$#NOTEMPTY#$","true","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","0","0","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","0","1","$#NULL#$","$#NOTEMPTY#$","false","$#EMPTY#$","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#NULL#$","0","0","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_ALARM","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","0","0","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_NOTIFICATION","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","1","1","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#NULL#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SET_ALARM","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","0","0","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"suntimeswidget.alarm.delete","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#NULL#$","0","0","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","0","0","$#NOTEMPTY#$","$#EMPTY#$","true","$#EMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","1","0","$#EMPTY#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_ALARM","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","0","1","$#NULL#$","$#NULL#$","true","$#NOTEMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_NOTIFICATION","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","1","1","$#EMPTY#$","$#NULL#$","false","$#EMPTY#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SET_ALARM","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","0","0","$#NULL#$","$#EMPTY#$","false","$#NULL#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"suntimeswidget.alarm.delete","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","1","0","$#NOTEMPTY#$","$#NULL#$","false","$#NULL#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","0","1","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","true","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","1","0","$#EMPTY#$","$#NULL#$","true","$#NULL#$","true","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","0","1","$#NULL#$","$#NULL#$","true","$#NOTEMPTY#$","false","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_ALARM","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","1","1","$#NULL#$","$#NOTEMPTY#$","false","$#EMPTY#$","true","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_NOTIFICATION","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","1","1","$#NULL#$","$#EMPTY#$","false","$#NULL#$","true","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SET_ALARM","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","1","0","$#NOTEMPTY#$","$#NULL#$","true","$#NOTEMPTY#$","false","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"suntimeswidget.alarm.delete","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","0","1","$#NULL#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","false","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","1","0","$#NOTEMPTY#$","$#EMPTY#$","true","$#NULL#$","false","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","0","1","$#NULL#$","$#NULL#$","true","$#NOTEMPTY#$","true","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","1","0","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#EMPTY#$","false","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_ALARM","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","1","0","$#EMPTY#$","$#NULL#$","false","$#EMPTY#$","false","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_NOTIFICATION","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","0","1","$#NULL#$","$#EMPTY#$","false","$#NOTEMPTY#$","false","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SET_ALARM","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","0","1","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#EMPTY#$","false","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"suntimeswidget.alarm.delete","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","1","1","$#NULL#$","$#EMPTY#$","true","$#NULL#$","true","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","0","1","$#EMPTY#$","$#NULL#$","true","$#NOTEMPTY#$","false","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","0","0","$#NULL#$","$#NOTEMPTY#$","true","$#NULL#$","false","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","1","0","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","false","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_NOTIFICATION","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","1","0","$#EMPTY#$","$#EMPTY#$","false","$#NULL#$","false","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SET_ALARM","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","0","1","$#NOTEMPTY#$","$#EMPTY#$","true","$#NOTEMPTY#$","false","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"suntimeswidget.alarm.delete","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","1","0","$#NULL#$","$#NULL#$","false","$#EMPTY#$","false","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
